"site","process","variable","variable_long","period","unit","observation_count","Municipio","Población","Estación.tráfico"
"es1018a",33352,"no","Nitrogen monoxide (air)","hour","ug.m-3",76723,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",115945,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1314,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",33337,"o3","Ozone (air)","day","ug.m-3",3768,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",33338,"o3","Ozone (air)","dymax","ug.m-3",3768,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",33339,"o3","Ozone (air)","hour","ug.m-3",88979,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",115946,"o3","Ozone (air)","hour","ug.m-3",17376,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",115947,"no2","Nitrogen dioxide (air)","hour","ug.m-3",51231,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1018a",115951,"no","Nitrogen monoxide (air)","hour","ug.m-3",51234,"Tarrasa",220556,"Terrassa (Pare Alegre)"
"es1047a",33566,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",5703,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",115998,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",50607,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",115999,"o3","Ozone (air)","hour","ug.m-3",59222,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",116000,"no2","Nitrogen dioxide (air)","hour","ug.m-3",50823,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",116006,"no","Nitrogen monoxide (air)","hour","ug.m-3",50620,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",33568,"o3","Ozone (air)","day","ug.m-3",5404,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",33569,"o3","Ozone (air)","dymax","ug.m-3",5389,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",33570,"o3","Ozone (air)","hour","ug.m-3",127533,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",33571,"o3","Ozone (air)","hour8","ug.m-3",128550,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",33572,"no2","Nitrogen dioxide (air)","day","ug.m-3",5332,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",33573,"no2","Nitrogen dioxide (air)","hour","ug.m-3",126616,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",33580,"no","Nitrogen monoxide (air)","day","ug.m-3",728,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",33581,"no","Nitrogen monoxide (air)","hour","ug.m-3",17178,"Zaragoza",674998,"ROGER DE FLOR"
"es1047a",33567,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",134234,"Zaragoza",674998,"ROGER DE FLOR"
"es1096a",33890,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",42811,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33891,"o3","Ozone (air)","day","ug.m-3",2497,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33892,"o3","Ozone (air)","dymax","ug.m-3",2488,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33889,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1815,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",116111,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",50891,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",116112,"o3","Ozone (air)","hour","ug.m-3",59846,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",116113,"no2","Nitrogen dioxide (air)","hour","ug.m-3",50809,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",116118,"no","Nitrogen monoxide (air)","hour","ug.m-3",50807,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33905,"no","Nitrogen monoxide (air)","hour","ug.m-3",44166,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33906,"no","Nitrogen monoxide (air)","day","ug.m-3",118,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33907,"no","Nitrogen monoxide (air)","hour","ug.m-3",2552,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33896,"no2","Nitrogen dioxide (air)","hour","ug.m-3",55681,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33893,"o3","Ozone (air)","hour","ug.m-3",57913,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33894,"o3","Ozone (air)","hour8","ug.m-3",58945,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33895,"no2","Nitrogen dioxide (air)","day","ug.m-3",2430,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1096a",33904,"no","Nitrogen monoxide (air)","day","ug.m-3",1925,"Ourense",105233,"GOMEZ FRANQUEIRA"
"es1137a",116247,"no","Nitrogen monoxide (air)","hour","ug.m-3",51734,"Vigo",295364,"Arenal"
"es1137a",34319,"o3","Ozone (air)","day","ug.m-3",2419,"Vigo",295364,"Arenal"
"es1137a",34320,"o3","Ozone (air)","dymax","ug.m-3",2408,"Vigo",295364,"Arenal"
"es1137a",34321,"o3","Ozone (air)","hour","ug.m-3",55984,"Vigo",295364,"Arenal"
"es1137a",34318,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",41063,"Vigo",295364,"Arenal"
"es1137a",34335,"no","Nitrogen monoxide (air)","hour","ug.m-3",3711,"Vigo",295364,"Arenal"
"es1137a",116242,"o3","Ozone (air)","hour","ug.m-3",59654,"Vigo",295364,"Arenal"
"es1137a",116243,"no2","Nitrogen dioxide (air)","hour","ug.m-3",51734,"Vigo",295364,"Arenal"
"es1137a",34317,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1786,"Vigo",295364,"Arenal"
"es1137a",34322,"o3","Ozone (air)","hour8","ug.m-3",56940,"Vigo",295364,"Arenal"
"es1137a",34323,"no2","Nitrogen dioxide (air)","day","ug.m-3",2348,"Vigo",295364,"Arenal"
"es1137a",34324,"no2","Nitrogen dioxide (air)","hour","ug.m-3",54364,"Vigo",295364,"Arenal"
"es1137a",34332,"no","Nitrogen monoxide (air)","day","ug.m-3",1882,"Vigo",295364,"Arenal"
"es1137a",34333,"no","Nitrogen monoxide (air)","hour","ug.m-3",43491,"Vigo",295364,"Arenal"
"es1137a",34334,"no","Nitrogen monoxide (air)","day","ug.m-3",157,"Vigo",295364,"Arenal"
"es1137a",116241,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",51331,"Vigo",295364,"Arenal"
"es1138a",34345,"no2","Nitrogen dioxide (air)","day","ug.m-3",2614,"A Coruña",245711,"CORLAB 1"
"es1138a",34342,"o3","Ozone (air)","dymax","ug.m-3",2661,"A Coruña",245711,"CORLAB 1"
"es1138a",34343,"o3","Ozone (air)","hour","ug.m-3",62193,"A Coruña",245711,"CORLAB 1"
"es1138a",34344,"o3","Ozone (air)","hour8","ug.m-3",63514,"A Coruña",245711,"CORLAB 1"
"es1138a",34339,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1804,"A Coruña",245711,"CORLAB 1"
"es1138a",34340,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",42164,"A Coruña",245711,"CORLAB 1"
"es1138a",34341,"o3","Ozone (air)","day","ug.m-3",2673,"A Coruña",245711,"CORLAB 1"
"es1138a",116251,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",50798,"A Coruña",245711,"CORLAB 1"
"es1138a",116252,"o3","Ozone (air)","hour","ug.m-3",59254,"A Coruña",245711,"CORLAB 1"
"es1138a",116253,"no2","Nitrogen dioxide (air)","hour","ug.m-3",50781,"A Coruña",245711,"CORLAB 1"
"es1138a",116257,"no","Nitrogen monoxide (air)","hour","ug.m-3",50782,"A Coruña",245711,"CORLAB 1"
"es1138a",34346,"no2","Nitrogen dioxide (air)","hour","ug.m-3",59868,"A Coruña",245711,"CORLAB 1"
"es1138a",34351,"no","Nitrogen monoxide (air)","day","ug.m-3",2041,"A Coruña",245711,"CORLAB 1"
"es1138a",34352,"no","Nitrogen monoxide (air)","hour","ug.m-3",46760,"A Coruña",245711,"CORLAB 1"
"es1138a",34353,"no","Nitrogen monoxide (air)","day","ug.m-3",209,"A Coruña",245711,"CORLAB 1"
"es1138a",34354,"no","Nitrogen monoxide (air)","hour","ug.m-3",4532,"A Coruña",245711,"CORLAB 1"
"es1160a",34392,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1571,"Burgos",175821,"Burgos 1"
"es1160a",34393,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",36920,"Burgos",175821,"Burgos 1"
"es1160a",34394,"no2","Nitrogen dioxide (air)","day","ug.m-3",1584,"Burgos",175821,"Burgos 1"
"es1160a",34395,"no2","Nitrogen dioxide (air)","hour","ug.m-3",37520,"Burgos",175821,"Burgos 1"
"es1160a",34404,"no","Nitrogen monoxide (air)","day","ug.m-3",1216,"Burgos",175821,"Burgos 1"
"es1160a",34405,"no","Nitrogen monoxide (air)","hour","ug.m-3",28721,"Burgos",175821,"Burgos 1"
"es1160a",34406,"no","Nitrogen monoxide (air)","day","ug.m-3",364,"Burgos",175821,"Burgos 1"
"es1160a",34407,"no","Nitrogen monoxide (air)","hour","ug.m-3",8628,"Burgos",175821,"Burgos 1"
"es1160a",116280,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",51402,"Burgos",175821,"Burgos 1"
"es1160a",116281,"no2","Nitrogen dioxide (air)","hour","ug.m-3",52155,"Burgos",175821,"Burgos 1"
"es1160a",116286,"no","Nitrogen monoxide (air)","hour","ug.m-3",52155,"Burgos",175821,"Burgos 1"
"es1161a",34412,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",5071,"León",124303,"BARRIO PINILLA"
"es1161a",34416,"o3","Ozone (air)","hour","ug.m-3",109648,"León",124303,"BARRIO PINILLA"
"es1161a",34417,"o3","Ozone (air)","hour8","ug.m-3",110345,"León",124303,"BARRIO PINILLA"
"es1161a",34418,"no2","Nitrogen dioxide (air)","day","ug.m-3",5734,"León",124303,"BARRIO PINILLA"
"es1161a",34419,"no2","Nitrogen dioxide (air)","hour","ug.m-3",136427,"León",124303,"BARRIO PINILLA"
"es1161a",34432,"no","Nitrogen monoxide (air)","day","ug.m-3",4640,"León",124303,"BARRIO PINILLA"
"es1161a",34433,"no","Nitrogen monoxide (air)","hour","ug.m-3",110299,"León",124303,"BARRIO PINILLA"
"es1161a",34413,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",120174,"León",124303,"BARRIO PINILLA"
"es1161a",34414,"o3","Ozone (air)","day","ug.m-3",4614,"León",124303,"BARRIO PINILLA"
"es1161a",34415,"o3","Ozone (air)","dymax","ug.m-3",4617,"León",124303,"BARRIO PINILLA"
"es1161a",116295,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",51645,"León",124303,"BARRIO PINILLA"
"es1161a",116296,"no2","Nitrogen dioxide (air)","hour","ug.m-3",51620,"León",124303,"BARRIO PINILLA"
"es1161a",116302,"no","Nitrogen monoxide (air)","hour","ug.m-3",51911,"León",124303,"BARRIO PINILLA"
"es1181a",34708,"o3","Ozone (air)","day","ug.m-3",5494,"Valencia",24760,"QUART DE POBLET"
"es1181a",34709,"o3","Ozone (air)","dymax","ug.m-3",5495,"Valencia",24760,"QUART DE POBLET"
"es1181a",34706,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",341,"Valencia",24760,"QUART DE POBLET"
"es1181a",34707,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",7919,"Valencia",24760,"QUART DE POBLET"
"es1181a",116374,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",48121,"Valencia",24760,"QUART DE POBLET"
"es1181a",116375,"o3","Ozone (air)","hour","ug.m-3",35361,"Valencia",24760,"QUART DE POBLET"
"es1181a",116377,"no2","Nitrogen dioxide (air)","hour","ug.m-3",23637,"Valencia",24760,"QUART DE POBLET"
"es1181a",116382,"no","Nitrogen monoxide (air)","hour","ug.m-3",23640,"Valencia",24760,"QUART DE POBLET"
"es1181a",116384,"pm2.5","Particulate matter < 2.5 µm (aerosol)","hour","ug.m-3",48116,"Valencia",24760,"QUART DE POBLET"
"es1181a",34712,"no2","Nitrogen dioxide (air)","day","ug.m-3",5313,"Valencia",24760,"QUART DE POBLET"
"es1181a",34713,"no2","Nitrogen dioxide (air)","hour","ug.m-3",122329,"Valencia",24760,"QUART DE POBLET"
"es1181a",34710,"o3","Ozone (air)","hour","ug.m-3",129247,"Valencia",24760,"QUART DE POBLET"
"es1181a",34711,"o3","Ozone (air)","hour8","ug.m-3",130819,"Valencia",24760,"QUART DE POBLET"
"es1181a",34721,"no","Nitrogen monoxide (air)","day","ug.m-3",4219,"Valencia",24760,"QUART DE POBLET"
"es1181a",34722,"no","Nitrogen monoxide (air)","hour","ug.m-3",96596,"Valencia",24760,"QUART DE POBLET"
"es1225a",35032,"no2","Nitrogen dioxide (air)","day","ug.m-3",4789,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",35033,"no2","Nitrogen dioxide (air)","hour","ug.m-3",112627,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",35027,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1417,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",35028,"o3","Ozone (air)","day","ug.m-3",4963,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",35029,"o3","Ozone (air)","dymax","ug.m-3",4961,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",35030,"o3","Ozone (air)","hour","ug.m-3",116948,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",35031,"o3","Ozone (air)","hour8","ug.m-3",118077,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",116460,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1182,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",116461,"o3","Ozone (air)","hour","ug.m-3",17095,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",116462,"no2","Nitrogen dioxide (air)","hour","ug.m-3",50185,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",116467,"no","Nitrogen monoxide (air)","hour","ug.m-3",50178,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",116479,"pm2.5","Particulate matter < 2.5 µm (aerosol)","day","ug.m-3",1019,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",35049,"no","Nitrogen monoxide (air)","hour","ug.m-3",105837,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",35059,"pm2.5","Particulate matter < 2.5 µm (aerosol)","day","ug.m-3",899,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1225a",35048,"no","Nitrogen monoxide (air)","day","ug.m-3",4492,"Lleida",138956,"Lleida (Irurita - Pius XII)"
"es1239a",116496,"no2","Nitrogen dioxide (air)","hour","ug.m-3",25027,"Valencia",794288,"Pista de Silla"
"es1239a",116503,"no","Nitrogen monoxide (air)","hour","ug.m-3",25027,"Valencia",794288,"Pista de Silla"
"es1239a",35164,"o3","Ozone (air)","dymax","ug.m-3",5357,"Valencia",794288,"Pista de Silla"
"es1239a",35165,"o3","Ozone (air)","hour","ug.m-3",124092,"Valencia",794288,"Pista de Silla"
"es1239a",35166,"o3","Ozone (air)","hour8","ug.m-3",126969,"Valencia",794288,"Pista de Silla"
"es1239a",116506,"pm2.5","Particulate matter < 2.5 µm (aerosol)","hour","ug.m-3",42863,"Valencia",794288,"Pista de Silla"
"es1239a",35168,"no2","Nitrogen dioxide (air)","hour","ug.m-3",124488,"Valencia",794288,"Pista de Silla"
"es1239a",35177,"no","Nitrogen monoxide (air)","day","ug.m-3",4332,"Valencia",794288,"Pista de Silla"
"es1239a",35178,"no","Nitrogen monoxide (air)","hour","ug.m-3",99254,"Valencia",794288,"Pista de Silla"
