"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"600200","99999","STA. CRUZ DE TENERIFE","SP",NA,NA,28.45,-16.25,36,1931-01-03,2021-01-21,"600200-99999",-0.283616003449079,0.496546172192387,87.3987039744161,"es1573a"
"600180","99999","TENERIFE-GUIMAR","SP",NA,NA,28.317,-16.383,111,2008-10-07,2021-01-20,"600180-99999",-0.285937291354231,0.494224884287234,95.2959721846085,"es1573a"
"080230","99999","SANTANDER","SP",NA,NA,43.483,-3.8,59,1973-01-01,2021-01-21,"080230-99999",-0.0663225115757845,0.758921518644694,2.5901401585729,"es1580a"
"080210","99999","SANTANDER","SP",NA,"LEXJ",43.427,-3.82,4.9,1973-01-01,2021-01-21,"080210-99999",-0.0666715774261834,0.757944134263578,3.84332775466891,"es1580a"
"080250","99999","BILBAO","SP",NA,"LEBB",43.301,-2.911,42.1,1973-01-01,2021-01-21,"080250-99999",-0.0508065345255549,0.755745019406065,74.6799379734395,"es1580a"
"083010","99999","PALMA DE MALLORCA CMT","SP",NA,NA,39.55,2.633,6,1980-04-18,2021-01-20,"083010-99999",0.0459545192050107,0.690277719163757,2.96913413712222,"es1610a"
"083060","99999","PALMA DE MALLORCA","SP",NA,"LEPA",39.55,2.733,8,1973-01-01,2021-01-21,"083060-99999",0.047699848457005,0.690277719163757,6.98215355633658,"es1610a"
"083030","99999","ALFABIA MTN RANGE","SP",NA,NA,39.733,2.717,1015,1973-01-01,2021-01-20,"083030-99999",0.0474205957766859,0.693471671694907,18.857645976006,"es1610a"
"082010","99999","SALAMANCA","SP",NA,NA,40.95,-5.65,787,1975-11-05,2021-01-20,"082010-99999",-0.0986111027376796,0.714712328691678,3.48766614650577,"es1618a"
"082020","99999","SALAMANCA","SP",NA,"LESA",40.952,-5.502,791,1973-01-01,2021-01-21,"082020-99999",-0.096028015444728,0.714747235276718,14.0382640074482,"es1618a"
"081300","99999","ZAMORA","SP",NA,NA,41.517,-5.733,667,1973-01-01,2021-01-21,"081300-99999",-0.100059726016835,0.724608345550486,60.0717412854206,"es1618a"
"082850","99999","VALENCIA VIVEROS","SP",NA,NA,39.483,-0.383,11,1973-01-01,2021-01-20,"082850-99999",-0.00668461103513828,0.689108348564921,4.18944410998739,"es1625a"
"082840","99999","VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,1973-01-01,2021-01-21,"082840-99999",-0.00841248699461267,0.689213068320041,5.96089096841238,"es1625a"
"080143","99999","VALENCIA","SP",NA,"LEBT",39.583,-0.45,50,2004-05-10,2021-01-21,"080143-99999",-0.00785398163397448,0.690853677816915,8.63304526397962,"es1625a"
"081410","99999","VALLADOLID","SP",NA,NA,41.633,-4.75,735,1973-01-01,2021-01-21,"081410-99999",-0.0829031394697306,0.726632927482799,2.15295833302528,"es1631a"
"081400","99999","VALLADOLID","SP",NA,"LEVD",41.706,-4.852,845.8,1973-01-01,2021-01-21,"081400-99999",-0.0846833753067649,0.727907017836755,12.1398034837076,"es1631a"
