"siteAQ","Municipio","countAQ","siteMto","dist","countMto","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","pwc","precip","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_12","precip_6"
"es1239a","Valencia",414587,"080143-99999",15.4773119098607,46754,0.998545578987894,0.744235787312316,0.998502801899303,0,0.392886170167258,0.998460024810711,0.998460024810711,0.558647388458742,0.0229071309406682,0,0.214099328399709,0.0645720152286435,0.0141164392351457,0.214099328399709,0.214099328399709,0.0645720152286435,0.0141164392351457,0,0
"es1239a","Valencia",414587,"082850-99999",3.05253841878696,20224,0.981408227848101,0.981408227848101,0.98046875,0,0,0.724090189873418,0.724090189873418,0,0.0378757911392405,0.0443532436708861,0,0,0,0,0,0,0,0,0
"es1244a","Bilbao",309639,"080270-99999",73.1187208272004,8625,0.999188405797101,0.997913043478261,0.999768115942029,0.999884057971015,0.999884057971015,0.990492753623188,0.990376811594203,0.738434782608696,0,0.518724637681159,0.875130434782609,0,0,0.875130434782609,0.926376811594203,0,0,0.0750144927536232,0.134376811594203
"es1244a","Bilbao",309639,"080800-99999",46.0674485005176,78801,1,0.792324970495298,0.999302039314222,0.328371467367165,0.364931917107651,0.998401035519854,0.998350274742706,0.397139630207738,0.0288955723912133,0.108158525907032,0.669458509409779,0.267648887704471,0.0392000101521554,0.669458509409779,0.658963718734534,0.267648887704471,0.0392000101521554,0,1.26901942868745e-05
"es1244a","Bilbao",309639,"080250-99999",4.20869015996503,80098,0.999912607056356,0.793690229468901,0.998963769382506,0.323690978551275,0.369722090439212,0.998576743489226,0.998539289370521,0.380571300157307,0.0642962371095408,0.106956478314065,0.541112137631402,0.272815800644211,0.102873979375265,0.541112137631402,0.530038203201079,0.272815800644211,0.102873979375265,0,0
"es1262a","Sabadell",281561,"081763-99999",4.91347186553811,52276,0.999866095340118,0.735480909021348,0.997341036039483,0,0.499292218226337,0.996805417399954,0.996461091131686,0.41653913841916,0.0383541204376769,0,0.377878950187467,0.133847272170786,0.0334379064962889,0.377878950187467,0.377878950187467,0.133847272170786,0.0334379064962889,0,0
"es1262a","Sabadell",281561,"081800-99999",16.2461383505128,20764,0.988874975919861,0.988874975919861,0.986804083991524,0,0,0.625939125409362,0.625939125409362,0,0.0412251974571374,0.0481602774031978,0,0,0,0,0,0,0,0,0
"es1262a","Sabadell",281561,"081860-99999",10.6323548649785,20609,0.842593041874909,0.842593041874909,0.816099762239798,0,0,0.816051239749624,0.816051239749624,0,0.0424086564122471,0.0487651026250667,0,0,0,0,0,0,0,0,0
"es1268a","Oviedo",419493,"080150-99999",0.924191976622005,25861,0.999883995205135,0.998143923282162,0.999961331735045,0.999806658675225,0.984764703607749,0.991995669154325,0.991995669154325,0.144619310931519,0.180155446425119,0.00139205753837825,0.210278024825026,0.00027067785468466,3.86682649549515e-05,0.210278024825026,0.209968678705386,0.00027067785468466,3.86682649549515e-05,0.000386682649549515,0.000232009589729709
"es1268a","Oviedo",419493,"080110-99999",26.6145243388797,80388,0.999166542269991,0.867418022590436,0.998370403542817,0.322349106831865,0.359083445290342,0.997735980494601,0.997698661491765,0.455242075931731,0.0823132805891427,0.042481464895258,0.590013434841021,0.302557595661044,0.0893292531223566,0.590013434841021,0.591792307309549,0.302557595661044,0.0893292531223566,1.24396676120814e-05,0
