"site","process","variable","variable_long","period","unit","observation_count","Municipio","Población","Estación tráfico","site_name","latitude","longitude","elevation","country","site_type","site_area","date_start","date_end"
"es1096a",33895,"no2","Nitrogen dioxide (air)","day","ug.m-3",2430,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33896,"no2","Nitrogen dioxide (air)","hour","ug.m-3",55681,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33904,"no","Nitrogen monoxide (air)","day","ug.m-3",1925,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33905,"no","Nitrogen monoxide (air)","hour","ug.m-3",44166,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33906,"no","Nitrogen monoxide (air)","day","ug.m-3",118,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1096a",33907,"no","Nitrogen monoxide (air)","hour","ug.m-3",2552,"Ourense",105233,"GOMEZ FRANQUEIRA","GOMEZ FRANQUEIRA",42.353,-7.8779,132,"spain","traffic","urban",2005-08-01,2021-01-16 01:00:00
"es1137a",34317,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1786,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34318,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",41063,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34319,"o3","Ozone (air)","day","ug.m-3",2419,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34320,"o3","Ozone (air)","dymax","ug.m-3",2408,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
