"period","site","variable","mean(2013-2019).vs.mean(2020)","std(2013-2019).vs.std(2020)"
"normalidad","Huelva","no2",-19.5232616224671,25.1884458109116
"new.lockdown","Huelva","no2",NA,NA
"pre.lckdwn","Huelva","pm10",-3.80165232904189,-28.9931208321857
"lckdwn","Huelva","pm10",-10.9189046816887,62.9013899275799
"fases","Huelva","pm10",-19.5860228253777,17.0813404169706
"normalidad","Huelva","pm10",-7.37624611792696,19.5046697709912
"new.lockdown","Huelva","pm10",-25.480783029748,22.8790879468585
"pre.lckdwn","Las Palmas de Gran Canaria","no",-21.693435088978,40.1645784717393
"lckdwn","Las Palmas de Gran Canaria","no",-72.3708662013079,10.0304127547553
"fases","Las Palmas de Gran Canaria","no",-47.2830140124571,32.6522184373607
"normalidad","Las Palmas de Gran Canaria","no",-27.3200828801969,15.4202850581405
"new.lockdown","Las Palmas de Gran Canaria","no",-21.5889495381114,38.4515599759357
"pre.lckdwn","Las Palmas de Gran Canaria","no2",-3.92824979083345,25.4422508453894
"lckdwn","Las Palmas de Gran Canaria","no2",-63.7263948219424,22.8877909145356
"fases","Las Palmas de Gran Canaria","no2",-51.3893773040899,17.2391407947568
"normalidad","Las Palmas de Gran Canaria","no2",-23.9872880563421,23.3633327452556
"new.lockdown","Las Palmas de Gran Canaria","no2",-25.6954117547531,24.8410592910255
"pre.lckdwn","Las Palmas de Gran Canaria","o3",6.64006200874719,10.6275402831307
"lckdwn","Las Palmas de Gran Canaria","o3",16.2244404123229,13.38586030375
"fases","Las Palmas de Gran Canaria","o3",4.93287342360776,15.9205508368417
"normalidad","Las Palmas de Gran Canaria","o3",6.17863932769094,14.5879804290096
"new.lockdown","Las Palmas de Gran Canaria","o3",16.0428490894321,17.9508296211404
"pre.lckdwn","Las Palmas de Gran Canaria","pm10",109.032636931107,400.207392731094
"lckdwn","Las Palmas de Gran Canaria","pm10",-7.37380658301047,33.2244348828664
"fases","Las Palmas de Gran Canaria","pm10",13.9390588271668,33.5930130156808
"normalidad","Las Palmas de Gran Canaria","pm10",12.1543032203798,15.9413805034834
"new.lockdown","Las Palmas de Gran Canaria","pm10",-5.19296144579834,48.4189594111672
"pre.lckdwn","Las Palmas de Gran Canaria","pm2.5",152.723688948408,404.947429055502
"lckdwn","Las Palmas de Gran Canaria","pm2.5",53.5543649012349,247.632167564931
"fases","Las Palmas de Gran Canaria","pm2.5",465.676108913447,1488.64182510833
"normalidad","Las Palmas de Gran Canaria","pm2.5",174.376361602491,1113.91384427252
"new.lockdown","Las Palmas de Gran Canaria","pm2.5",22.5338249675226,143.411162901919
"pre.lckdwn","Leganés","no",14.2412529064589,54.2046336550874
"lckdwn","Leganés","no",-74.8622695069721,9.67824805711455
"fases","Leganés","no",-54.4375167980491,17.3995442603845
"normalidad","Leganés","no",-38.5371631124124,15.1516899012366
"new.lockdown","Leganés","no",-47.1651252032782,26.8022988587116
"pre.lckdwn","Leganés","no2",4.90343697945695,27.6691705591101
"lckdwn","Leganés","no2",-52.9759678418197,11.2495353989157
"fases","Leganés","no2",-43.2036217288669,19.029141378296
"normalidad","Leganés","no2",-18.5506583939838,17.7014087592029
