"date","variable","site","2013-2019.vs.2020"
2020-01-03,"o3","Almería",-8.70817637934855
2020-01-03,"o3","Barcelona",38.6666666666667
2020-01-03,"o3","Cádiz",-16.457658165422
2020-01-03,"o3","Castellón de la Plana",-26.1527111766876
2020-01-03,"o3","Elche",-56.0873134688753
2020-01-03,"o3","Getafe",-91.0136592379583
2020-01-03,"o3","Gijón",-48.471093282663
2020-01-03,"o3","Las Palmas de Gran Canaria",44.3993384453466
2020-01-03,"o3","Leganés",-94.3908851884312
2020-01-03,"o3","Lleida",-22.7206946454414
2020-01-03,"o3","Madrid",-91.1093184562552
2020-01-03,"o3","Marbella",-87.5182026211775
2020-01-03,"o3","Ourense",-91.5890506109305
2020-01-03,"o3","Oviedo",-39.84192363353
2020-01-03,"o3","Palma",15.3358376379932
2020-01-03,"o3","Pamplona",-40.2542372881356
2020-01-03,"o3","Sabadell",9.45349158156225
2020-01-03,"o3","San Sebastián",-82.5240807251912
2020-01-03,"o3","Sevilla",-53.1308121512709
2020-01-03,"o3","Tarrasa",-39.440203562341
2020-01-03,"o3","Valencia",-42.4929619779902
2020-01-03,"o3","Valladolid",NA
2020-01-03,"o3","Vigo",-53.7746962404497
2020-01-03,"o3","Zaragoza",-28.7087601485674
2020-01-03,"pm10","Alcalá de Henares",100.380228136882
2020-01-03,"pm10","Alcobendas",81.3753581661891
2020-01-03,"pm10","Bilbao",-0.786484124672298
2020-01-03,"pm10","Burgos",137.121875631611
2020-01-03,"pm10","Getafe",124.898974199565
2020-01-03,"pm10","Gijón",3.87815412607939
2020-01-03,"pm10","Huelva",-76.3556202668638
2020-01-03,"pm10","Las Palmas de Gran Canaria",-25.1117447595561
2020-01-03,"pm10","Leganés",136.770007209805
2020-01-03,"pm10","León",32.3157894736842
2020-01-03,"pm10","Madrid",165.374926368296
2020-01-03,"pm10","Marbella",-24.7201998584961
2020-01-03,"pm10","Ourense",125.937660165395
2020-01-03,"pm10","Oviedo",19.0453832047394
2020-01-03,"pm10","Palma",-11.2058213511454
2020-01-03,"pm10","Pamplona",5.05179337803132
2020-01-03,"pm10","Salamanca",6.67036215816704
2020-01-03,"pm10","San Sebastián",9.33380806642223
2020-01-03,"pm10","Santander",24.0569559955712
2020-01-03,"pm10","Valencia",157.922272047833
2020-01-03,"pm10","Valladolid",NA
2020-01-03,"pm10","Vigo",3.03276793042673
2020-01-03,"pm10","Vitoria",34.2470145066923
2020-01-03,"pm10","Zaragoza",-16.7816861753082
2020-01-03,"pm2.5","Bilbao",-3.48248701189878
2020-01-03,"pm2.5","Gijón",68.0970002362019
2020-01-03,"pm2.5","Las Palmas de Gran Canaria",-59.1577879249112
2020-01-03,"pm2.5","Madrid",213.41041438096
2020-01-03,"pm2.5","Ourense",442.228651719936
2020-01-03,"pm2.5","Oviedo",97.2201352366642
2020-01-03,"pm2.5","San Sebastián",41.9296891801288
2020-01-03,"pm2.5","Valencia",284.740632501826
2020-01-03,"pm2.5","Valladolid",NA
2020-01-03,"pm2.5","Vigo",356.623376635237
2020-01-03,"pm2.5","Vitoria",26.9667318982387
2020-01-04,"no","Alcalá de Henares",-64.4879053010808
2020-01-04,"no","Alcobendas",-83.3249454789465
2020-01-04,"no","Alicante",45.4037681320513
2020-01-04,"no","Almería",-80.105872214699
2020-01-04,"no","Barcelona",-17.9251510689077
2020-01-04,"no","Bilbao",-59.8942488772997
2020-01-04,"no","Burgos",-90.8190819081908
2020-01-04,"no","Cádiz",-53.3674834086149
2020-01-04,"no","Castellón de la Plana",-28.7767725403918
2020-01-04,"no","Córdoba",-34.4628409586941
2020-01-04,"no","Elche",-28.8230779963723
2020-01-04,"no","Getafe",-69.0652375895938
2020-01-04,"no","Gijón",-63.3030104098284
2020-01-04,"no","Girona",-24.3270267760851
2020-01-04,"no","Granada",-47.7674188323949
2020-01-04,"no","Huelva",-46.7831113345062
2020-01-04,"no","Las Palmas de Gran Canaria",-45.3287385016145
2020-01-04,"no","Leganés",-43.3949992773522
2020-01-04,"no","León",-51.5281408637953
2020-01-04,"no","Lleida",-70.7065217391304
2020-01-04,"no","Madrid",-75.8822702011052
2020-01-04,"no","Málaga",-49.7777499530458
2020-01-04,"no","Marbella",-51.4782982514618
2020-01-04,"no","Ourense",-46.5786127614842
2020-01-04,"no","Oviedo",-61.0683666739943
2020-01-04,"no","Palma",-36.6306724286648
2020-01-04,"no","Pamplona",-74.3403771513702
2020-01-04,"no","Sabadell",-17.0519295570925
2020-01-04,"no","Salamanca",-58.1015581796298
2020-01-04,"no","San Sebastián",-47.93867120954
2020-01-04,"no","Santander",-59.3939786898355
