"date","variable","site","2013-2019.vs.2020"
2020-01-20,"no2","es0115a",-12.408543708422
2020-01-20,"no2","es0118a",-38.9500294200972
2020-01-20,"o3","es0118a",83.35295350543
2020-01-20,"pm10","es0041a",17.5338282840378
2020-01-20,"pm10","es0110a",-49.6684350132626
2020-01-20,"pm10","es0118a",-39.9408284023669
2020-01-20,"pm2.5","es0110a",-51.1456765345375
2020-01-20,"pm2.5","es0118a",-63.3551457465794
2020-01-21,"no","es0110a",311.690698531114
2020-01-21,"no","es0115a",NA
2020-01-21,"no","es0118a",-62.2699470826747
2020-01-21,"no2","es0041a",3.25051337075579
2020-01-21,"no2","es0110a",61.665167794765
2020-01-21,"no2","es0115a",NA
2020-01-21,"no2","es0118a",-37.4532066949231
2020-01-21,"o3","es0118a",42.8058257718151
2020-01-21,"pm10","es0041a",66.8950482715665
2020-01-21,"pm10","es0110a",119.799910407645
2020-01-21,"pm10","es0118a",-54.1105039059692
2020-01-21,"pm2.5","es0110a",87.0390667408885
2020-01-21,"pm2.5","es0118a",-67.8511459042433
2020-01-22,"no","es0110a",158.87120611067
2020-01-22,"no","es0115a",NA
2020-01-22,"no","es0118a",-64.6350639578631
2020-01-22,"no2","es0041a",8.71730044889325
2020-01-22,"no2","es0110a",35.204323504314
2020-01-22,"no2","es0115a",NA
2020-01-22,"no2","es0118a",-23.6340930377771
2020-01-22,"o3","es0118a",60.3912754304435
2020-01-22,"pm10","es0041a",151.052846080696
2020-01-22,"pm10","es0110a",182.602317894467
2020-01-22,"pm10","es0118a",24.3512264486314
2020-01-22,"pm2.5","es0110a",169.524254457681
2020-01-22,"pm2.5","es0118a",-31.7582417582418
2020-01-23,"no","es0110a",-7.65698882975078
2020-01-23,"no","es0115a",NA
2020-01-23,"no","es0118a",-61.8367571130397
2020-01-23,"no2","es0041a",-26.0720390417916
2020-01-23,"no2","es0110a",2.73715002089427
2020-01-23,"no2","es0115a",NA
2020-01-23,"no2","es0118a",-22.9671011793917
2020-01-23,"o3","es0118a",0.790672856888574
2020-01-23,"pm10","es0041a",109.835509581143
2020-01-23,"pm10","es0110a",89.7701351114231
2020-01-23,"pm10","es0118a",218.62227966605
2020-01-23,"pm2.5","es0110a",49.21228917612
2020-01-23,"pm2.5","es0118a",59.9880881477069
2020-01-24,"no","es0110a",-73.3297906117287
2020-01-24,"no","es0115a",NA
2020-01-24,"no","es0118a",-80.2518456131982
2020-01-24,"no2","es0041a",-40.0824322765362
2020-01-24,"no2","es0110a",-29.1862560913972
2020-01-24,"no2","es0115a",NA
2020-01-24,"no2","es0118a",-37.4294193041811
2020-01-24,"o3","es0118a",26.1254745994394
2020-01-24,"pm10","es0041a",141.866050527468
2020-01-24,"pm10","es0110a",83.8938344873063
2020-01-24,"pm10","es0118a",53.0516431924883
2020-01-24,"pm2.5","es0110a",-0.759038551168532
2020-01-24,"pm2.5","es0118a",-5.73555864204558
2020-01-25,"no","es0110a",-61.9464415963322
2020-01-25,"no","es0115a",NA
2020-01-25,"no","es0118a",-86.2825788751715
2020-01-25,"no2","es0041a",-38.4078212290503
2020-01-25,"no2","es0110a",-35.1802503896626
2020-01-25,"no2","es0115a",NA
2020-01-25,"no2","es0118a",-46.415640839971
2020-01-25,"o3","es0118a",67.8383817999633
2020-01-25,"pm10","es0041a",90.4977375565611
2020-01-25,"pm10","es0110a",26.2350414237496
2020-01-25,"pm10","es0118a",-37.0908840350031
2020-01-25,"pm2.5","es0110a",-25.0306533543528
2020-01-25,"pm2.5","es0118a",-54.862535904801
2020-01-26,"no","es0110a",-71.6555264942362
2020-01-26,"no","es0115a",NA
2020-01-26,"no","es0118a",-80.6786163899047
2020-01-26,"no2","es0041a",-58.3368689011455
2020-01-26,"no2","es0110a",-53.4078493991092
2020-01-26,"no2","es0115a",NA
2020-01-26,"no2","es0118a",-43.0891646746783
2020-01-26,"o3","es0118a",19.3392534394217
2020-01-26,"pm10","es0041a",21.1401425178147
2020-01-26,"pm10","es0110a",-63.3305514540669
2020-01-26,"pm10","es0118a",-41.9828929723461
2020-01-26,"pm2.5","es0110a",-44.6220369083468
2020-01-26,"pm2.5","es0118a",-37.9960317460317
2020-01-27,"no","es0110a",-60.2534562211982
2020-01-27,"no","es0115a",NA
2020-01-27,"no","es0118a",-22.2599321221801
2020-01-27,"no2","es0041a",-97.2492836676218
2020-01-27,"no2","es0110a",-66.6705002875216
2020-01-27,"no2","es0115a",NA
2020-01-27,"no2","es0118a",-9.68543046357616
2020-01-27,"o3","es0118a",-33.9693616065334
2020-01-27,"pm10","es0041a",-56.080467229072
2020-01-27,"pm10","es0110a",-54.7804422298349
2020-01-27,"pm10","es0118a",-6.88420214882611
2020-01-27,"pm2.5","es0110a",-15.7577449065029
2020-01-27,"pm2.5","es0118a",-16.5457184325109
2020-01-28,"no","es0110a",-21.4724688062574
2020-01-28,"no","es0115a",NA
2020-01-28,"no","es0118a",-56.3089580821335
2020-01-28,"no2","es0041a",0.890507994333132
2020-01-28,"no2","es0110a",10.0010016025641
2020-01-28,"no2","es0115a",NA
2020-01-28,"no2","es0118a",-34.6691871455577
2020-01-28,"o3","es0118a",2.61986541608013
2020-01-28,"pm10","es0041a",-4.93604170821345
2020-01-28,"pm10","es0110a",35.4816354816355
2020-01-28,"pm10","es0118a",-29.518855656697
2020-01-28,"pm2.5","es0110a",-14.4998523613499
2020-01-28,"pm2.5","es0118a",-27.289896128423
2020-01-29,"no","es0110a",25.7109401137504
2020-01-29,"no","es0115a",NA
2020-01-29,"no","es0118a",-57.9712862488688
2020-01-29,"no2","es0041a",-10.6406080347448
2020-01-29,"no2","es0110a",24.9487074271645
2020-01-29,"no2","es0115a",NA
2020-01-29,"no2","es0118a",-39.2323135468792
2020-01-29,"o3","es0118a",13.8316554055579
2020-01-29,"pm10","es0041a",-14.6903977446418
2020-01-29,"pm10","es0110a",35.3069810558342
2020-01-29,"pm10","es0118a",-21.7198622682914
2020-01-29,"pm2.5","es0110a",1.266646423459
2020-01-29,"pm2.5","es0118a",-29.6699642530551
2020-01-30,"no","es0110a",-79.5154878269274
2020-01-30,"no","es0115a",-90.371048455999
2020-01-30,"no","es0118a",-51.3746409519902
2020-01-30,"no2","es0041a",-87.1794871794872
2020-01-30,"no2","es0110a",-64.1563020272255
2020-01-30,"no2","es0115a",-54.8064836255376
2020-01-30,"no2","es0118a",-25.9148618371919
2020-01-30,"o3","es0118a",12.3763165593136
2020-01-30,"pm10","es0041a",-82.2937072550435
2020-01-30,"pm10","es0110a",-80.7765161649348
2020-01-30,"pm10","es0118a",-7.22891566265059
2020-01-30,"pm2.5","es0110a",-64.5105134052211
2020-01-30,"pm2.5","es0118a",-29.2929292929293
2020-01-31,"no","es0110a",-27.4928788590829
2020-01-31,"no","es0115a",-89.3739484636501
2020-01-31,"no","es0118a",-63.5746989994913
2020-01-31,"no2","es0041a",-26.5901981230448
2020-01-31,"no2","es0110a",-5.41419925815058
2020-01-31,"no2","es0115a",-57.0492386854582
2020-01-31,"no2","es0118a",-33.4619093539055
2020-01-31,"o3","es0118a",-4.10767609892392
2020-01-31,"pm10","es0041a",-79.7146167853004
2020-01-31,"pm10","es0110a",-45.5505529389796
2020-01-31,"pm10","es0118a",-40.7985314364387
2020-01-31,"pm2.5","es0110a",-56.9907940161105
2020-01-31,"pm2.5","es0118a",-52.3431294678316
2020-02-01,"no","es0110a",-31.7169717961405
2020-02-01,"no","es0115a",-93.3226065969429
2020-02-01,"no","es0118a",-77.0753632636256
2020-02-01,"no2","es0041a",-15.2504755865568
2020-02-01,"no2","es0110a",6.05553696888593
2020-02-01,"no2","es0115a",-70.8450893456939
2020-02-01,"no2","es0118a",-44.3084704377652
2020-02-01,"o3","es0118a",-9.7682190267798
2020-02-01,"pm10","es0041a",8.33333333333333
2020-02-01,"pm10","es0110a",-10.347271438696
2020-02-01,"pm10","es0118a",-38.8507421278957
2020-02-01,"pm2.5","es0110a",-27.1058315334773
2020-02-01,"pm2.5","es0118a",-49.3571132310245
2020-02-02,"no","es0110a",-79.1129599250059
2020-02-02,"no","es0115a",-73.9416381120813
2020-02-02,"no","es0118a",-73.9643927375287
2020-02-02,"no2","es0041a",-85.3720050441362
2020-02-02,"no2","es0110a",-72.2319245546629
2020-02-02,"no2","es0115a",-35.3557885344635
2020-02-02,"no2","es0118a",-32.0952037504508
2020-02-02,"o3","es0118a",-51.5853458177157
2020-02-02,"pm10","es0041a",-24.4490196995929
2020-02-02,"pm10","es0110a",-57.9503397338819
