"site","Pollutant","start_yr","end_yr","hv.min","mss.wk","mss.mnth","mss.yr"
"es1272a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1271a","pm2.5",2020-01-01,2020-12-28,TRUE,364,84,7
"es1271a","pm10",2013-01-01,2020-12-28,TRUE,-1,0,0
"es1271a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1271a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1271a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1270a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1270a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1270a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1270a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1269a","pm2.5",2018-03-13,2020-12-30,TRUE,272,62,5
"es1269a","pm10",2013-01-01,2020-12-30,TRUE,0,0,0
"es1269a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1269a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1269a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1268a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1268a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1268a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1268a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1262a","pm2.5",2013-01-02,2018-12-29,FALSE,104,24,2
"es1262a","pm10",2013-01-02,2018-12-26,FALSE,106,24,2
"es1262a","o3",2013-01-01,2020-12-30,TRUE,259,60,5
"es1262a","no2",2013-01-01,2020-12-30,TRUE,0,0,0
"es1262a","no",2013-01-01,2020-12-30,TRUE,0,0,0
"es1244a","pm2.5",2020-02-27,2020-12-30,FALSE,372,85,7
"es1244a","pm10",2017-01-01,2020-12-30,TRUE,216,50,4
"es1244a","o3",2013-01-01,2015-03-17,FALSE,307,70,5
"es1244a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1244a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1239a","pm2.5",2014-01-01,2020-12-30,TRUE,57,13,1
"es1239a","pm10",2013-01-01,2020-01-29,FALSE,57,12,0
"es1239a","o3",2013-01-01,2020-12-30,TRUE,64,12,1
"es1239a","no2",2013-04-07,2020-12-30,TRUE,65,15,1
"es1239a","no",2013-04-07,2020-12-30,TRUE,65,15,1
"es1225a","pm2.5",2013-01-02,2018-12-29,FALSE,108,24,2
"es1225a","pm10",2013-01-02,2018-12-29,FALSE,107,24,2
"es1225a","o3",2013-01-01,2020-12-30,TRUE,259,60,5
"es1225a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1225a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1181a","pm2.5",2013-01-01,2020-12-30,TRUE,54,12,1
"es1181a","pm10",2013-01-01,2020-12-30,TRUE,54,12,1
"es1181a","o3",2013-01-01,2020-12-30,TRUE,51,12,1
"es1181a","no2",2013-01-01,2020-12-30,TRUE,18,0,0
"es1181a","no",2013-01-01,2020-12-30,TRUE,17,0,0
"es1161a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1161a","no2",2013-01-01,2020-12-30,TRUE,3,0,0
"es1161a","no",2013-01-01,2020-12-30,TRUE,3,0,0
"es1160a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1160a","no2",2013-01-01,2020-12-30,TRUE,2,0,0
"es1160a","no",2013-01-01,2020-12-30,TRUE,2,0,0
"es1138a","pm2.5",2015-10-28,2019-12-26,FALSE,201,45,3
"es1138a","pm10",2013-01-01,2019-12-26,FALSE,52,12,1
"es1138a","o3",2013-01-01,2019-12-27,FALSE,52,12,1
"es1138a","no2",2013-01-01,2019-12-27,FALSE,52,12,1
"es1138a","no",2013-01-01,2019-12-27,FALSE,52,12,1
"es1137a","pm2.5",2015-11-04,2020-12-30,TRUE,147,34,2
"es1137a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1137a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1137a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1137a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1096a","pm2.5",2015-10-30,2020-12-30,TRUE,146,33,2
