"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-02-08,"080150-99999",-0.102398467214507,0.756600230739542,3.30485802174711,"es1269a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-02-05,"080140-99999",-0.0994837673636768,0.76038759521637,24.7437693684874,"es1269a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-02-08,"080110-99999",-0.105330620357858,0.76033523533881,27.3504784741642,"es1269a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-02-05,"080140-99999",-0.0994837673636768,0.76038759521637,4.87820055208496,"es1270a"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-02-08,"080150-99999",-0.102398467214507,0.756600230739542,26.6079344280865,"es1270a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-02-08,"080110-99999",-0.105330620357858,0.76033523533881,30.5272874243526,"es1270a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-02-05,"080140-99999",-0.0994837673636768,0.76038759521637,3.13694968970094,"es1271a"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-02-08,"080150-99999",-0.102398467214507,0.756600230739542,24.9980976955496,"es1271a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-02-08,"080110-99999",-0.105330620357858,0.76033523533881,27.2305851477311,"es1271a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-02-05,"080140-99999",-0.0994837673636768,0.76038759521637,4.64539130138419,"es1272a"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-02-08,"080150-99999",-0.102398467214507,0.756600230739542,25.3816980720233,"es1272a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-02-08,"080110-99999",-0.105330620357858,0.76033523533881,29.3808405657138,"es1272a"
