"date","Municipio","diff"
2020-01-13,"Huelva",-9.2450487589672
2020-01-13,"Leganés",9.30605823000984
2020-01-13,"León",-18.0146307836688
2020-01-13,"Lleida",14.7558073231708
2020-01-13,"Madrid",0.765668410074964
2020-01-13,"Málaga",-27.8675333803604
2020-01-13,"Ourense",-33.0488375314237
2020-01-13,"Oviedo",-5.72119024164599
2020-01-13,"Palma",9.35584872993412
2020-01-13,"Pamplona",-18.9766518599094
2020-01-13,"Sabadell",1.53794972649627
2020-01-13,"Salamanca",-20.151426335478
2020-01-13,"San Sebastián",-32.4620411463441
2020-01-13,"Santander",-20.8306058530642
2020-01-13,"Sevilla",-43.6838450998921
2020-01-13,"Tarrasa",-19.1178964760589
2020-01-13,"Valencia",-32.0098758125783
2020-01-13,"Valladolid",6.24793225573626
2020-01-13,"Vigo",88.4602404259023
2020-01-13,"Vitoria",-19.3997949972823
2020-01-13,"Zaragoza",-40.1721930914958
2020-01-14,"Alcalá de Henares",1.94549358422389
2020-01-14,"Alcobendas",-10.3032622198093
2020-01-14,"Alicante",-3.98987399511677
2020-01-14,"Almería",-10.8199184609741
2020-01-14,"Barcelona",7.1335786975963
2020-01-14,"Bilbao",-49.6456196068055
2020-01-14,"Burgos",58.5613382424883
2020-01-14,"Castellón de la Plana",-13.6746908596134
2020-01-14,"Elche",7.38857850575352
2020-01-14,"Gijón",-37.6633447894989
2020-01-14,"Girona",-1.80549685830724
2020-01-14,"Granada",-2.31618692782655
2020-01-14,"Huelva",-22.8168915459585
2020-01-14,"Leganés",15.9545153005602
2020-01-14,"León",20.7294682721675
2020-01-14,"Lleida",38.4059044018453
2020-01-14,"Madrid",-3.3773365720149
2020-01-14,"Málaga",-30.4759073281542
2020-01-14,"Ourense",-20.7059782853785
2020-01-14,"Oviedo",-44.8059881642149
2020-01-14,"Palma",-13.4931690291603
2020-01-14,"Pamplona",-0.993994539044698
2020-01-14,"Sabadell",6.07538852186854
2020-01-14,"Salamanca",39.3274298051942
2020-01-14,"San Sebastián",-12.2844234716192
2020-01-14,"Santander",21.5442503276783
2020-01-14,"Sevilla",-44.4666692972005
2020-01-14,"Tarrasa",14.95663301202
2020-01-14,"Valencia",-21.9953916853752
2020-01-14,"Vigo",94.7640508966046
2020-01-14,"Vitoria",-29.0441109800918
2020-01-14,"Zaragoza",-48.302832146911
2020-01-15,"Alcalá de Henares",11.8422644547669
2020-01-15,"Alcobendas",10.11145352306
2020-01-15,"Alicante",9.45029905988574
2020-01-15,"Almería",-15.2746640195154
2020-01-15,"Barcelona",20.9480916215429
2020-01-15,"Bilbao",-25.502235839307
2020-01-15,"Burgos",122.349907473212
2020-01-15,"Castellón de la Plana",-24.8634471065454
2020-01-15,"Elche",16.5273969095406
2020-01-15,"Gijón",-48.4668453468237
2020-01-15,"Girona",19.369238978634
2020-01-15,"Granada",-1.54078722302585
2020-01-15,"Huelva",-30.3206607741558
2020-01-15,"Leganés",33.4335248338304
2020-01-15,"León",46.9290669101608
2020-01-15,"Lleida",-5.94379946648364
2020-01-15,"Madrid",10.1228391456821
2020-01-15,"Málaga",-9.11862037142125
2020-01-15,"Ourense",46.0842128011322
2020-01-15,"Oviedo",-27.3187791610419
2020-01-15,"Palma",1.2683888122655
2020-01-15,"Pamplona",35.9174087038205
2020-01-15,"Sabadell",-7.12184636003372
2020-01-15,"Salamanca",81.6406842251534
2020-01-15,"San Sebastián",-24.5502855196255
2020-01-15,"Santander",-24.9787331817593
2020-01-15,"Sevilla",-35.537708374311
2020-01-15,"Tarrasa",7.83519515209406
2020-01-15,"Valencia",-16.4676360243764
2020-01-15,"Vigo",92.1779904724816
2020-01-15,"Vitoria",-3.63454311235812
2020-01-15,"Zaragoza",-37.0461645541229
2020-01-16,"Alcalá de Henares",-0.106126179779759
2020-01-16,"Alcobendas",5.54303171956686
2020-01-16,"Alicante",29.5967038378121
2020-01-16,"Almería",7.46918664398566
2020-01-16,"Barcelona",-9.69941511824308
2020-01-16,"Bilbao",6.30523084094018
2020-01-16,"Burgos",60.5308379261566
2020-01-16,"Castellón de la Plana",-23.166596318527
2020-01-16,"Elche",15.7818091078731
2020-01-16,"Gijón",-50.4800229963595
2020-01-16,"Girona",-1.70705845142679
2020-01-16,"Granada",-1.2039165561095
2020-01-16,"Huelva",-15.5916190384489
2020-01-16,"León",71.3888401655017
2020-01-16,"Lleida",-3.86301024095406
2020-01-16,"Madrid",-0.552591019334365
2020-01-16,"Málaga",2.99280040946
2020-01-16,"Ourense",27.9021911855506
2020-01-16,"Oviedo",-45.190901682031
2020-01-16,"Palma",-0.095008728148021
2020-01-16,"Pamplona",-7.51826417193605
2020-01-16,"Sabadell",-4.89259297735388
2020-01-16,"Salamanca",123.31953413441
2020-01-16,"San Sebastián",4.89601270564723
2020-01-16,"Santander",-9.36743413122955
2020-01-16,"Sevilla",-38.6634661992573
2020-01-16,"Tarrasa",-12.478596197912
2020-01-16,"Valencia",11.1126813753338
2020-01-16,"Vigo",186.405025801305
2020-01-16,"Vitoria",47.0050882368793
2020-01-16,"Zaragoza",-15.9722141702021
2020-01-17,"Alcalá de Henares",-10.7226989711144
2020-01-17,"Alcobendas",-2.62840899741189
2020-01-17,"Alicante",9.64289666477731
2020-01-17,"Almería",-13.4316699438355
2020-01-17,"Barcelona",-39.7960721711768
2020-01-17,"Bilbao",-19.4054410134374
2020-01-17,"Burgos",44.0430472905933
2020-01-17,"Castellón de la Plana",-0.842845425421542
2020-01-17,"Elche",16.0747187080053
2020-01-17,"Gijón",2.48728955308279
2020-01-17,"Girona",7.03865161560449
2020-01-17,"Granada",0.095680371040814
2020-01-17,"Huelva",-16.047322674691
2020-01-17,"León",6.39434910095555
2020-01-17,"Lleida",-20.5273428559757
2020-01-17,"Madrid",-11.9729432279402
2020-01-17,"Málaga",3.04097642413378
2020-01-17,"Ourense",16.6223589836211
2020-01-17,"Oviedo",14.1801748218412
2020-01-17,"Palma",40.6796144692202
2020-01-17,"Pamplona",-1.67053673975705
2020-01-17,"Sabadell",-42.8246132323988
2020-01-17,"Salamanca",44.487363702065
2020-01-17,"San Sebastián",-35.8444448123557
2020-01-17,"Santander",20.6201893146056
2020-01-17,"Sevilla",-47.7364241009804
2020-01-17,"Tarrasa",-37.7850015028806
2020-01-17,"Valencia",32.6761947586736
2020-01-17,"Vigo",-6.53750840063992
2020-01-17,"Vitoria",-28.4869999448559
