"site","start_dt","end_dt","miss_dy","fecha","indicativo","nombre","provincia","altitud","tmed","prec","tmin","horatmin","tmax","horatmax","dir","velmedia","racha","horaracha","sol","presMax","horaPresMax","presMin","horaPresMin"
"3194U",2013-01-01,2020-12-31,106,0.963735887786521,0.963735887786521,0.963735887786521,0.963735887786521,0.963735887786521,0.892576120424222,0.935682517960999,0.892576120424222,0.963735887786521,0.892576120424222,0.963735887786521,0.483065343824838,0.495039343140609,0.483065343824838,0.963735887786521,NA,NA,NA,NA,NA
"3195",2013-01-01,2020-12-31,0,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.941840574751967,0.9483407458091,0.941840574751967,1,NA,0.98460485802258,0.98460485802258,0.98460485802258,0.984262743756415
"3196",2013-01-01,2020-12-31,0,1,1,1,1,1,0.99931577146767,1,0.99931577146767,1,0.99931577146767,1,0.999657885733835,1,0.999657885733835,1,1,0.999657885733835,0.999657885733835,0.999657885733835,0.99931577146767
"3200",2013-01-01,2020-12-31,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999657885733835
"3266A",2013-01-05,2020-12-31,409,0.860075265138556,0.860075265138556,0.860075265138556,0.860075265138556,0.860075265138556,0.790283954840917,0.722545330140267,0.790283954840917,0.860075265138556,0.790283954840917,0.860075265138556,0.689360246322272,0.705097502565857,0.689360246322272,0.860075265138556,NA,0.799521040027369,0.799521040027369,0.799521040027369,0.799521040027369
"3338",2013-01-01,2020-12-31,385,0.868286007526514,0.868286007526514,0.868286007526514,0.868286007526514,0.868286007526514,0.679781046869654,0.698597331508724,0.679781046869654,0.868286007526514,0.679781046869654,0.868286007526514,0.517276770441327,0.52446117003079,0.517276770441327,0.868286007526514,NA,0.751282928498118,0.751282928498118,0.751282928498118,0.751282928498118
"4549Y",2013-01-01,2020-12-31,16,0.994526171741362,0.994526171741362,0.994526171741362,0.994526171741362,0.994526171741362,0.96578857338351,0.98186794389326,0.96578857338351,0.994526171741362,0.96578857338351,0.994526171741362,0.978104686965447,0.982894286691755,0.978104686965447,0.994526171741362,NA,0.965446459117345,0.965446459117345,0.965446459117345,0.965446459117345
"4560Y",2013-01-01,2020-12-31,46,0.984262743756415,0.984262743756415,0.984262743756415,0.984262743756415,0.984262743756415,0.977762572699282,0.945261717413616,0.977762572699282,0.984262743756415,0.977762572699282,0.984262743756415,0.941156346219637,0.962709544988026,0.941156346219637,0.984262743756415,NA,0.977762572699282,0.977762572699282,0.977762572699282,0.977762572699282
"4642E",2013-01-01,2020-12-31,9,0.996920971604516,0.996920971604516,0.996920971604516,0.996920971604516,0.996920971604516,0.993841943209032,0.996920971604516,0.993841943209032,0.996920971604516,0.993841943209032,0.996920971604516,0.993841943209032,0.994184057475197,0.993841943209032,0.996920971604516,0.945603831679781,0.986657543619569,0.986657543619569,0.986657543619569,0.986657543619569
"5047E",2013-01-01,2020-12-31,208,0.928840232637701,0.928840232637701,0.928840232637701,0.928840232637701,0.928840232637701,0.919945261717414,0.879233664043791,0.919945261717414,0.928840232637701,0.919945261717414,0.928840232637701,0.748546014368799,0.752651385562778,0.748546014368799,0.928840232637701,0.895997263085871,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919
