"site","start_dt","end_dt","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_6","precip","precip_12","pwc"
"082010-99999",2017-07-12,2020-12-31,0.726759082846068,0.726759082846068,0.72643058931739,NA,NA,0.72643058931739,0.72643058931739,NA,0,0,0,0,0,0,0,0,0.0389593325011497,0,0
"081860-99999",2017-07-12,2020-12-31,0.678996123776362,0.678996123776362,0.660994678404835,NA,NA,0.660961829051968,0.660961829051968,NA,0,0,0,0,0,0,0,0,0.0370540700348203,0,0
"081840-99999",2013-01-01,2020-12-31,0.998417180013689,0.909765001140771,0.998417180013689,0.984485512206251,0.474731918777093,0.998388660734657,0.998388660734657,0.406257129819758,0.728567761806982,0.255889231120237,0.0458875199634953,0.729565936573123,0.732760095824778,0.251040953684691,0.0458590006844627,0.0396988364134155,0.109628108601415,0.040041067761807,0
"081810-99999",2013-01-01,2020-12-31,0.998516997490303,0.997504563084645,0.998502737850787,0.985426648414328,0.988036162445813,0.998360141455624,0.998360141455624,0.341176135067305,0.780430070727812,0.20753479352042,0.0414812913529546,0.781028975587497,0.795003422313484,0.199962924937258,0.0414385124344057,0.0391854893908282,0.10794547113849,0.0403832991101985,0
"081800-99999",2017-07-12,2020-12-31,0.78480388936338,0.78480388936338,0.783259969778595,NA,NA,0.537119768740556,0.537119768740556,NA,0,0,0,0,0,0,0,NA,0.0365284803889363,0,0
"081763-99999",2013-01-01,2020-12-31,0.778421495740521,0.625722399006835,0.777294196549608,NA,0.262218353572397,0.776908917079296,0.776694872929123,0.343811983618488,0.399763124473808,0.150544385621941,0.0433796144351375,0.399763124473808,0.399763124473808,0.150544385621941,0.0433796144351375,0,0,0,0
"081710-99999",2013-01-01,2020-12-31,0.812146106998702,0.806141514412449,0.812089056237788,0.809578822757549,0.801149572832428,0.812089056237788,0.812089056237788,0.0338025758418553,0.0979561564902372,0.019939240939626,Inf,0.104374367093121,0.0804700982699357,0.0376535022035856,Inf,0.0502902457461526,0.238885798639339,0.0422603511474334,0
"081600-99999",2013-01-01,2020-12-31,0.998089208304814,0.97366244581337,0.998074948665298,0.665982203969884,0.543135409536847,0.998060689025781,0.998060689025781,0.361068332192562,0.663729180926306,0.21399441022131,0.0374743326488706,0.665896646132786,0.630033652749258,0.20764887063655,0.0374743326488706,0.234514031485284,0.277906114533425,0.478439425051335,0
"081570-99999",2013-01-07,2020-12-22,0.279328792352442,0.226444879702985,0.280907416610635,0.113134738503815,0.281170520653667,0.280819715262958,0.280468909872248,0.113748647937557,0.17645511152688,0.00605139298973894,NA,0.164001520156693,0.15742391908089,0.0743707428304148,NA,0.0323617972929517,0.0295553541672757,0.0928757271903412,0
"081410-99999",2013-01-01,2020-12-31,0.782401003864307,0.778679291020833,0.782458041609035,0.782301187811034,0.77722482853028,0.780105234639022,0.780105234639022,0.135835389068716,0.206619230275635,0.0292603630452452,Inf,0.215631193942592,0.200245262302329,0.00209613711873833,NA,0.0835888148982589,0.166650030657788,0.0440046200573229,0
"081400-99999",2013-01-01,2020-12-31,0.690076924174742,0.667228018096448,0.689848577830424,NA,0.385377270975752,0.689663046425666,0.689520329960468,0.258944754456322,0.370277868957742,0.122193837503033,0.023177153948251,0.371291155860652,0.360958483780274,0.118611654226548,0.023177153948251,0.982345973254934,0.161340963907006,0.246399977165366,0
"081300-99999",2013-01-02,2020-12-31,0.687836429315933,0.678969687450919,0.687822151148679,0.68673701043734,0.683567257306852,0.687593700472607,0.687593700472607,0.0212744692091323,0.0841697959649899,0.000728186529977012,NA,0.0738466810400217,0.0600111369704585,NA,NA,0.0254865285491954,0.0593543412767537,0.0247726201864729,0
"081120-99999",2017-07-12,2020-12-31,0.761185204651468,0.761185204651468,0.762104986531765,NA,0.754253991196373,0.753597004139018,0.753597004139018,NA,0,0,0,0,0,0,0,Inf,0.0464161356021286,0,0
"080940-99999",2013-01-01,2020-12-31,0.721125032107081,0.693184737007335,0.721039413225263,0.561188960872171,0.335626016724222,0.720953794343446,0.720853905647992,0.369031650446645,0.318259653528925,0.0875310368446588,0.0192357087816433,0.320899569051628,0.311524301492623,0.0837209966037843,0.0192071691543708,0.125346042980679,0.235480464625132,0.121578812180713,0
"080910-99999",2017-07-12,2020-12-31,0.782635832074108,0.78260298272124,0.782504434662637,NA,NA,0.778628211024243,0.778628211024243,NA,0,0,0,0,0,0,0,NA,0.0795282832928191,0,0
